Entity,Code,Year,Cumulative number of objects launched into outer space
APSCO,,2023,1
Algeria,DZA,2002,1
Algeria,DZA,2010,2
Algeria,DZA,2016,5
Algeria,DZA,2017,6
Angola,AGO,2017,1
Angola,AGO,2022,2
Arabsat,,1985,2
Arabsat,,1992,3
Arabsat,,1996,5
Arabsat,,1999,6
Arabsat,,2006,8
Arabsat,,2008,9
Arabsat,,2010,11
Arabsat,,2011,12
Arabsat,,2015,13
Arabsat,,2019,14
Arabsat,,2023,15
Argentina,ARG,1990,1
Argentina,ARG,1996,4
Argentina,ARG,1997,5
Argentina,ARG,1998,6
Argentina,ARG,2000,8
Argentina,ARG,2002,10
Argentina,ARG,2007,11
Argentina,ARG,2011,12
Argentina,ARG,2013,14
Argentina,ARG,2014,16
Argentina,ARG,2015,17
Argentina,ARG,2018,18
Argentina,ARG,2020,19
Argentina,ARG,2021,20
Argentina,ARG,2022,21
Argentina,ARG,2023,22
Armenia,ARM,2022,1
Armenia,ARM,2023,2
Australia,AUS,1967,1
Australia,AUS,1970,2
Australia,AUS,1985,4
Australia,AUS,1987,5
Australia,AUS,1992,7
Australia,AUS,1994,8
Australia,AUS,1998,9
Australia,AUS,2002,10
Australia,AUS,2003,11
Australia,AUS,2006,12
Australia,AUS,2007,13
Australia,AUS,2009,14
Australia,AUS,2014,15
Australia,AUS,2015,16
Australia,AUS,2016,17
Australia,AUS,2017,18
Australia,AUS,2018,24
Australia,AUS,2019,25
Australia,AUS,2020,28
Australia,AUS,2021,36
Australia,AUS,2023,47
Australia,AUS,2024,56
Austria,AUT,2013,2
Austria,AUT,2017,3
Austria,AUT,2023,4
Azerbaijan,AZE,2013,1
Azerbaijan,AZE,2014,2
Azerbaijan,AZE,2018,3
Bangladesh,BGD,2017,1
Bangladesh,BGD,2018,2
Belarus,BLR,2012,1
Belarus,BLR,2016,2
Belarus,BLR,2018,3
Belarus,BLR,2023,4
Belgium,BEL,2014,3
Belgium,BEL,2016,4
Belgium,BEL,2017,32
Belgium,BEL,2020,35
Belgium,BEL,2021,36
Belgium,BEL,2023,39
Belgium,BEL,2024,43
Bhutan,BTN,2018,1
Bolivia,BOL,2013,1
Brazil,BRA,1985,1
Brazil,BRA,1986,2
Brazil,BRA,1990,3
Brazil,BRA,1993,4
Brazil,BRA,1994,5
Brazil,BRA,1995,6
Brazil,BRA,1998,8
Brazil,BRA,1999,12
Brazil,BRA,2000,13
Brazil,BRA,2004,15
Brazil,BRA,2007,16
Brazil,BRA,2008,17
Brazil,BRA,2009,18
Brazil,BRA,2011,19
Brazil,BRA,2012,20
Brazil,BRA,2013,21
Brazil,BRA,2014,23
Brazil,BRA,2015,26
Brazil,BRA,2016,27
Brazil,BRA,2017,31
Brazil,BRA,2018,34
Brazil,BRA,2019,36
Brazil,BRA,2021,39
Brazil,BRA,2022,44
Brazil,BRA,2023,46
Bulgaria,BGR,2017,1
Bulgaria,BGR,2018,2
Bulgaria,BGR,2021,3
Bulgaria,BGR,2022,4
Bulgaria,BGR,2023,5
Canada,CAN,1962,1
Canada,CAN,1965,2
Canada,CAN,1969,3
Canada,CAN,1971,4
Canada,CAN,1972,6
Canada,CAN,1973,8
Canada,CAN,1975,9
Canada,CAN,1976,10
Canada,CAN,1978,11
Canada,CAN,1982,13
Canada,CAN,1983,14
Canada,CAN,1984,15
Canada,CAN,1985,16
Canada,CAN,1991,18
Canada,CAN,1992,19
Canada,CAN,1995,20
Canada,CAN,1996,21
Canada,CAN,1999,22
Canada,CAN,2000,23
Canada,CAN,2001,24
Canada,CAN,2002,26
Canada,CAN,2003,29
Canada,CAN,2004,30
Canada,CAN,2005,31
Canada,CAN,2007,33
Canada,CAN,2008,38
Canada,CAN,2009,40
Canada,CAN,2011,42
Canada,CAN,2012,44
Canada,CAN,2013,48
Canada,CAN,2014,52
Canada,CAN,2015,54
Canada,CAN,2016,57
Canada,CAN,2018,62
Canada,CAN,2019,65
Canada,CAN,2020,71
Canada,CAN,2021,82
Canada,CAN,2022,91
Canada,CAN,2023,109
Canada,CAN,2024,112
Chile,CHL,1995,1
Chile,CHL,1998,2
Chile,CHL,2011,3
Chile,CHL,2017,4
Chile,CHL,2022,7
Chile,CHL,2024,8
China,CHN,1970,1
China,CHN,1971,2
China,CHN,1974,3
China,CHN,1975,6
China,CHN,1976,8
China,CHN,1978,9
China,CHN,1981,12
China,CHN,1982,13
China,CHN,1983,14
China,CHN,1984,17
China,CHN,1985,18
China,CHN,1986,20
China,CHN,1987,22
China,CHN,1988,26
China,CHN,1990,32
China,CHN,1991,33
China,CHN,1992,35
China,CHN,1993,36
China,CHN,1994,41
China,CHN,1995,42
China,CHN,1996,45
China,CHN,1997,52
China,CHN,1998,62
China,CHN,1999,72
China,CHN,2000,78
China,CHN,2001,80
China,CHN,2002,87
China,CHN,2003,96
China,CHN,2004,106
China,CHN,2005,113
China,CHN,2006,121
China,CHN,2007,131
China,CHN,2008,148
China,CHN,2009,156
China,CHN,2010,176
China,CHN,2011,196
China,CHN,2012,222
China,CHN,2013,241
China,CHN,2014,266
China,CHN,2015,304
China,CHN,2016,342
China,CHN,2017,373
China,CHN,2018,468
China,CHN,2019,544
China,CHN,2020,617
China,CHN,2021,727
China,CHN,2022,909
China,CHN,2023,1119
China,CHN,2024,1385
Colombia,COL,2007,1
Colombia,COL,2018,2
Colombia,COL,2023,3
Costa Rica,CRI,2018,1
Croatia,HRV,2024,1
Czechia,CZE,1978,1
Czechia,CZE,1989,2
